-0.998437, 1.77771, 1.77771
-0.997743, 1.54538, 1.54538
-0.997049, 1.31213, 1.31213
-0.996354, -0.62203, -0.62203
-0.995660, 0.64293, 0.64293
-0.994965, 0.10695, 0.10695
-0.994271, -0.03000, -0.03000
-0.993576, -0.66789, -0.66789
-0.992882, 0.59326, 0.59326
-0.992187, -0.64658, -0.64658
-0.991493, -0.98743, -0.98743
-0.990799, -1.32930, -1.32930
-0.990104, -1.27224, -1.27224
-0.989410, -1.61617, -1.61617
-0.988715, -1.06124, -1.06124
-0.988021, -0.80738, -0.80738
-0.987326, -0.15466, -0.15466
-0.986632, 1.29698, 1.29698
-0.985937, 1.64747, 1.64747
-0.985243, 1.49669, 1.49669
-0.984549, 1.64481, 1.64481
-0.983854, 1.69177, 1.69177
-0.983160, 0.73744, 0.73744
-0.982465, 0.28191, 0.28191
-0.981771, -1.67469, -1.67469
-0.981076, 0.26735, 0.26735
-0.980382, -1.69178, -1.69178
-0.979687, -0.55210, -0.55210
-0.978993, 0.28625, 0.28625
-0.978299, 1.92323, 1.92323
-0.977604, 1.85883, 1.85883
-0.976910, 1.19321, 1.19321
-0.976215, 3.72613, 3.72613
-0.975521, 3.15768, 3.15768
-0.974826, 3.58784, 3.58784
-0.974132, 3.11657, 3.11657
-0.973437, 3.14390, 3.14390
-0.972743, 1.86987, 1.86987
-0.972049, 2.19428, 2.19428
-0.971354, 0.51742, 0.51742
-0.970660, 1.73908, 1.73908
-0.969965, 0.85925, 0.85925
-0.969271, 1.47790, 1.47790
-0.968576, 1.39508, 1.39508
-0.967882, 0.81068, 0.81068
-0.967187, 1.12480, 1.12480
-0.966493, 2.23727, 2.23727
-0.965799, 1.24828, 1.24828
-0.965104, 2.45768, 2.45768
-0.964410, 0.76557, 0.76557
-0.963715, 1.37174, 1.37174
-0.963021, -0.12365, -0.12365
-0.962326, -0.62063, -0.62063
-0.961632, -0.51922, -0.51922
-0.960937, -1.01956, -1.01956
-0.960243, -2.92139, -2.92139
-0.959549, -0.62495, -0.62495
-0.958854, -1.23024, -1.23024
-0.958160, -1.43708, -1.43708
-0.957465, -0.84570, -0.84570
-0.956771, -1.35601, -1.35601
-0.956076, -0.66807, -0.66807
-0.955382, 0.11810, 0.11810
-0.954687, -0.39749, -0.39749
-0.953993, 0.68517, 0.68517
-0.953299, 0.96597, 0.96597
-0.952604, 0.14498, 0.14498
